"","Depthm","T_degC","Salnty"
"225707",700,5.25,34.411
"85199",1100,3.82,34.544
"422418",30,15.48,33.56
"225761",501,6.08,34.33
"653966",400,7.02,34.029
"116426",374,8.14,34.45
"2361",194,8.09,33.58
"530127",0,14.26,32.952
"848415",380,6.76,34.1685
"40605",51,11.42,32.74
"182787",490,6.26,34.41
"517034",261,7.76,34.045
"24474",1488,2.69,34.56
"491290",350,7.61,34.24
"388146",150,12.24,33.76
"605817",16,10.53,32.805
"480079",20,15.5,33.517
"382517",125,9.04,33.84
"320529",20,17.66,33.603
"535151",93,11.95,33.049
"124519",139,9.58,33.84
"160869",138,11.26,34.49
"476094",125,13.65,35.112
"297215",1,19.33,33.54
"295250",500,6.07,34.295
"28386",642,4.95,34.27
"178160",50,13.27,33.36
"476193",400,10.99,34.803
"494730",75,10.27,33.69
"128703",10,20.82,33.79
"847172",50,15.276,33.2989
"500104",10,16.86,33.72
"807497",125,9.32,34
"660275",254,7.91,34.028
"671125",58,12.72,33.135
"249098",0,14.03,33.22
"594162",150,8.93,33.869
"45935",400,7.23,34.29
"795961",269,7.93,34.189
"408038",1,13.53,33.373
"677998",1,15.7,33.329
"479322",164,14.33,34.964
"529780",191,8.69,33.804
"196381",800,4.79,34.422
"521459",83,12.84,33.484
"689529",268,9.1,34.221
"483959",200,9.85,34.28
"122817",145,11.23,33.46
"460697",250,7.89,34.06
"727740",124,13.36,33.634
"403110",235,8.25,34.177
"553752",10,15.77,33.386
"546268",400,6.46,34.197
"497270",0,15.9,33.81
"248323",125,10.06,33.854
"804773",1,16.08,32.798
"452637",200,8.93,33.967
"197396",20,12.48,33.469
"218243",10,12.66,33.48
"151630",942,4.06,34.48
"513002",219,8.24,34.108
"345424",11,13.53,33.474
"644735",1,12.81,33.544
"383064",200,10.36,33.74
"206313",438,7.17,34.42
"607535",275,7.17,34.042
"306155",100,10.27,33.578
"510984",0,14.88,33.58
"805161",75,9.54,33.474
"4713",1191,3.51,34.53
"648127",177,9.4,34.175
"686009",104,13.52,33.465
"624112",181,8.38,34.05
"31695",55,14.09,33.68
"423954",75,11.24,33.38
"813837",20,18.07,33.307
"129221",269,7.77,34.07
"162602",23,18.1,33.48
"711028",59,14.75,33.54
"39838",20,14.37,33.466
"804063",1,14.87,33.184
"338724",100,12.01,33.463
"202593",201,8,33.96
"537480",252,8.34,34.177
"282335",500,6.08,34.233
"501294",0,15.4,33.4
"278903",20,16.34,33.561
"153454",62,15.16,33.31
"839309",16,18.628,33.4205
"185802",125,12.01,34.304
"316444",211,7.88,34.015
"621719",0,14.91,33.351
"526105",20,15.77,32.983
"604525",231,8.71,34.131
"737409",319,6.97,34.019
"538199",400,7.33,34.267
"648261",336,7.94,34.235
"677878",120,9.95,33.495
"765485",75,10.17,33.506
"143241",612,5.66,34.31
"354724",120,10.34,33.48
"122026",905,4.14,34.45
"618281",10,17.11,33.467
"569267",150,13.1,33.713
"745361",100,10.82,33.464
"309072",0,15.95,33.81
"207485",124,9.62,33.96
"736921",50,14.16,33.488
"210609",700,6.02,34.53
"495261",200,7.74,34.08
"431642",125,11.39,33.386
"498348",89,8.84,33.592
"352431",100,9.3,33.94
"597548",20,14.23,33.34
"342525",25,17.84,33.596
"163651",9,14.68,33.39
"322546",241,7.3,34.09
"446655",125,11.3,33.83
"118263",550,6.85,34.42
"426225",20,14.31,33.473
"793774",200,8.78,34.062
"750965",110,9.35,33.471
"463706",0,15.56,33.442
"271333",150,11.09,33.91
"335748",75,10.8,33.595
"34581",700,4.92,34.332
"587736",50,12.4,33.52
"21416",8,16.58,32.75
"580572",32,17.64,33.483
"722007",10,12.65,33.378
"752738",99,11.58,33.526
"227102",10,17.43,35.189
"460105",10,11.1,32.76
"536912",256,8.23,33.966
"409561",2927,1.66,34.671
"671609",400,7.01,34.209
"235215",414,7.16,34.41
"46522",20,16.47,33.53
"771607",500,5.72,34.171
"603185",43,15.6,33.097
"686354",169,9.1,33.84
"52938",30,13.45,33.27
"260567",30,21.13,33.74
"142596",800,4.42,34.352
"796309",10,14.46,33.473
"268900",91,10.72,33.73
"290113",200,11.44,34.466
"420857",75,10.39,33.73
"314712",300,10.44,34.642
"250735",159,11.16,33.89
"326530",1,19.22,33.641
"299128",236,8.21,34.18
"685427",300,7.35,33.979
"536946",381,6.75,34.047
"413487",75,15.56,33.59
"785857",100,10.18,33.591
"546871",30,15.73,33.446
"775175",3,17.15,33.251
"864576",0,19.156,33.3548
"854243",270,7.327,34.0206
"373342",500,5.8,34.259
"564408",10,12.77,33.514
"554429",31,15.52,33.461
"803806",2,14.73,33.388
"261555",300,10.4,34.705
"336769",300,6.86,34.066
"813878",60,10.3,33.667
"793749",500,6.3,34.326
"789244",30,13.3,33.584
"342803",10,21.7,34.246
"111137",97,11.06,33.3
"528880",221,8.31,34.086
"698846",54,14.6,33.213
"742922",169,10.15,34.148
"138182",300,8.74,34.367
"686194",300,7.58,34.127
"491044",50,11.45,33.6
"179012",234,10.41,34.54
"723013",30,16.1,33.947
"566501",11,15.35,33.436
"338400",75,9.68,33.897
"291364",68,16.03,33.82
"420580",0,16.12,33.36
"506872",75,11.67,33.54
"688646",269,8.41,33.886
"809439",752,4.63,34.369
"298305",61,12.92,33.53
"32883",110,11.07,32.94
"158133",131,11.06,33.42
"668020",328,7.25,34.149
"505539",500,6.26,34.31
"458095",600,5.13,34.187
"792653",24,11.99,33.613
"283850",600,5.71,34.33
"178662",800,4.47,34.363
"619163",211,8.94,33.974
"649699",349,6.9,34.073
"666855",59,11.39,33.47
"431665",150,9.81,33.378
"164235",98,9.56,33.83
"735749",10,15.24,33.615
"664742",0,18.56,33.33
"674239",400,7.15,34.243
"610942",40,12.76,32.741
"669233",327,7.13,34.079
"672746",250,7.44,33.993
"358061",2000,2.03,34.611
"282400",500,5.76,34.223
"789199",318,7.18,34.277
"857039",10,15.215,33.5923
"537804",20,18.17,33.148
"766318",400,7,34.222
"140694",500,6.36,34.249
"409613",250,10.11,34.478
"820379",125,8.61,34.154
"400101",50,19.63,33.953
"556532",11,17.04,33.554
"401014",20,17.32,33.285
"146071",20,14.06,33.54
"671015",86,9.62,33.708
"687709",378,6.53,34.199
"720460",94,12.9,33.512
"650751",153,8.94,33.904
"202426",596,4.95,34.26
"495766",1000,4.04,34.49
"592335",200,8.94,34.12
"750101",269,7.94,34.145
"699872",22,18.91,33.34
"577140",50,14.67,32.855
"699539",54,13.99,33.41
"108088",150,9.81,33.95
"775776",229,9.26,34.216
"602247",400,7.78,34.292
"186489",67,12.64,33.37
"262771",71,11.12,33.48
"536197",74,10.42,33.649
"243942",435,6.51,34.2
"191582",90,10.94,33.27
"806687",40,15.18,33.246
"700511",11,13.16,33.489
"126326",250,7.91,34.179
"415461",300,7.74,34.03
"110771",700,5.07,34.381
"636933",60,15.48,33.516
"403112",274,8.03,34.213
"648285",150,9.36,33.95
"34379",500,5.22,34.121
"662203",107,13.34,33.497
"530869",76,9.64,33.76
"579021",167,8.89,33.919
"203144",30,14.9,33.552
"507177",125,9.25,33.89
"659276",393,6.44,34.071
"632766",500,5.57,34.19
"807324",140,8.99,33.942
"262645",20,16.04,33.318
"254599",97,16.21,33.62
"241689",400,7.53,34.376
"567852",600,5.53,34.302
"649374",31,15.75,33.34
"413508",400,7.9,34.33
"64692",10,20.95,34.25
"781505",93,10.59,33.457
"471942",200,10.2,33.74
"837194",380,6.445,34.1709
"595193",79,12.67,33.34
"172070",10,15.07,33.55
"608629",24,12.68,32.561
"851873",100,14.29,33.1873
"849285",320,7.564,34.1791
"341207",300,6.73,34.111
"746746",229,8.53,34.195
"681683",100,11.29,33.222
"477208",2200,1.96,34.653
"596765",50,11.81,33.361
"399518",257,7.94,34.042
"248794",96,14.87,33.4
"420193",30,14.38,33.14
"116593",141,10.53,34.22
"509384",140,8.53,34.006
"815113",0,18.67,33.558
"169889",24,13.65,33.45
"278905",31,15.92,33.48
"220115",250,8.2,34.022
"681796",518,5.89,34.24
"187512",25,13.38,33.3
"305040",250,8.13,34.159
"199947",2923,1.54,34.74
"336672",49,10.53,33.734
"845066",30,17.838,33.2957
"722605",150,9.06,34.099
"382455",172,8.26,34.029
"306097",109,9.32,33.86
"709700",30,15.77,33.329
"441783",75,16.13,33.47
"460470",1400,3.04,34.549
"115700",544,6.67,34.47
"346609",136,10.48,33.729
"685370",20,15.06,33.252
"212444",135,10.64,34.23
"409632",1165,3.82,34.55
"60875",100,9.32,33.745
"702311",378,7.15,34.256
"494162",100,8.5,34.14
"217395",300,6.53,34.113
"182460",75,12.98,33.06
"340526",28,14.69,33.407
"209847",0,13.8,33.5
"217937",300,6.59,34.142
"319031",75,15.17,33.568
"641186",1300,3.19,34.539
"91362",500,4.86,34.085
"712787",200,8.62,33.916
"161978",300,8.53,34.459
"835127",250,7.961,34.1512
"716887",200,9.04,33.863
"381203",125,12.44,33.41
"210544",1200,3.77,34.539
"185222",150,11.42,34.527
"549199",20,15.28,33.48
"280951",439,7.97,34.57
"510291",400,6.47,34.22
"633900",241,8.58,34.176
"74115",100,10.21,33.152
"210043",600,5.86,34.367
"24178",24,17.75,33.29
"293853",50,16.38,33.511
"553088",175,9.16,33.913
"269917",71,15.58,33.51
"548282",300,7.6,34.246
"500796",225,10.65,34.49
"599319",10,19.27,33.53
"445967",125,9.79,33.79
"466018",0,17.15,33.73
"574118",42,16.44,33.346
"253509",500,5.5,34.254
"498608",291,7.34,34.23
"612683",285,7.55,34.04
"482122",75,11.26,33.6
"334702",589,5.3,34.16
"543522",350,8.36,34.381
"349627",932,4.18,34.465
"177948",39,18,34.02
"346866",20,18.6,33.962
"460968",700,4.73,34.36
"402067",125,8.98,33.809
"622007",72,10.23,33.821
"426253",100,10.13,33.764
"275852",125,10.51,33.719
"804737",400,5.86,34.08
"757980",71,10.16,33.27
"529704",50,13.78,32.962
"335120",200,8.8,34.041
"560153",169,9.88,33.71
"12599",100,10.45,33.742
"240673",20,19.84,33.86
"216229",20,15.41,33.49
"531242",1,16.03,33.078
"421435",150,9.64,34.141
"355371",400,6.84,34.132
"664617",400,7.05,34.222
"436915",400,6.92,34.24
"201724",800,4.69,34.462
"364261",524,6.17,34.35
"574906",275,7.15,34.041
"213910",212,8.32,34.04
"683286",0,19.42,33.46
"271503",67,15.82,33.69
"164638",250,9.85,34.514
"308676",200,9.34,34.253
"131213",48,10.33,33.58
"328328",601,5.6,34.275
"253582",50,14.97,33.273
"444778",30,10.46,33.48
"546077",0,14.78,33.404
"84459",30,13.82,33.299
"590009",233,7.96,33.999
"477599",271,10.26,34.537
"335382",300,7.57,34.036
"732083",199,8.65,33.967
"399503",64,15.21,33.394
"285238",548,6.26,34.42
"232022",133,11.86,33.68
"807808",444,7.04,34.267
"435326",150,8.46,33.086
"138925",150,10.04,34.037
"771731",1,16.51,33.341
"827320",84,10.83,33.806
"747692",99,9.82,33.533
"693606",121,9.6,33.798
"53714",1197,3.26,34.47
"814609",10,18.41,33.278
"373533",94,10.76,33.738
"325612",100,8.94,33.908
"241352",96,14.49,33.42
"349080",300,8.27,34.303
"560191",78,12.94,33.288
"375807",125,12.64,33.424
"791177",84,12.62,32.943
"694332",300,7.71,34.227
"545555",521,5.38,34.219
"715276",437,6.79,34.27
"292293",75,18.67,34.231
"504716",40,16.83,33.51
"171514",380,6.28,34.19
"484321",125,11.51,33.86
"212810",78,9.82,33.76
"408974",128,9.76,33.772
"472089",50,13.58,33.4
"737202",300,7.92,34.219
"358289",500,5.34,34.136
"658983",179,8.43,33.933
"52026",25,16.34,32.3
"515144",221,7.75,34.029
"315095",500,6.29,34.301
"747645",1,14.18,33.081
"817321",30,11.32,33.357
"805189",150,9.06,33.747
"63524",589,6.6,34.51
"151863",400,6.83,34.005
"256156",49,18.82,33.59
"122776",1053,3.86,34.51
"782573",85,13.56,33.41
"621131",100,9.51,33.908
"536294",150,8.48,34.061
"422508",300,8.02,34.2
"589054",125,13.7,33.664
"273643",69,18.4,34.04
"320143",106,10.5,33.84
"769213",165,8.87,33.985
"167186",500,5.94,34.323
"615836",62,13.17,33.384
"707076",124,10.95,33.843
"20905",75,15.48,33.78
"230349",56,16.36,33.8
"506158",800,4.39,34.39
"747231",55,13.35,33.067
"390785",83,13.53,33.742
"127439",234,6.94,33.95
"61508",260,7.3,34.04
"51490",125,9.08,33.884
"863314",100,10.462,33.5549
"492443",50,13.71,33.53
"202241",400,7.53,34.007
"423341",150,9.44,33.68
"501771",0,15.44,33.44
"528239",493,5.85,34.209
"359122",300,7.1,34.136
"556890",235,8.32,34.035
"788550",171,9.22,33.814
"858193",0,16.775,33.6934
"536958",53,17.54,33.098
"638395",10,15.45,33.271
"374458",400,8.45,34.438
"219223",125,10.14,34.163
"237177",241,7.74,33.98
"611238",0,15.6,33.205
"725298",30,13.84,33.561
"773526",376,6.68,34.197
"540674",180,8.22,33.957
"60292",200,8.5,34.006
"387717",300,7.76,34.12
"314832",235,11.56,34.72
"817646",500,5.32,34.16
"9415",700,4.37,34.255
"570171",1,10.66,33.6
"858887",141,9.587,33.539
"382223",29,15.7,33.408
"447820",125,10.6,33.642
"665626",200,8.25,33.757
"11967",900,4.23,34.473
"280542",0,18.6,34.11
"447442",216,8.06,34.12
"863153",75,10.004,33.5719
"593813",341,6.42,34.07
"502565",175,8.78,34.01
"706646",435,6.14,34.161
"558381",400,6.05,34.116
"279378",10,17.34,33.744
"186513",1100,3.77,34.482
"715995",69,11.78,33.599
"283534",500,6.29,34.289
"13053",125,12.69,33.55
"549805",603,5.36,34.28
"177547",0,16.13,33.47
"527746",400,6.49,34.177
"151861",300,8.39,33.948
"176582",591,6.04,34.42
"112962",30,15.14,33.93
"786877",30,10.68,33.765
"720015",500,5.58,34.2
"193298",70,13.29,33.21
"320501",30,14.83,33.618
"431072",30,11.34,33.54
"368779",66,14.02,33.583
"345042",344,7.32,33.986
"180981",181,7.6,33.91
"775603",500,5.25,34.19
"490415",275,7.35,34.08
"291574",40,19.4,34.14
"414984",125,9.17,33.87
"776081",75,16.1,33.333
"312251",91,10.33,33.5
"561956",56,16.09,33.569
"237231",221,7.61,34.17
"746396",10,15.61,33.351
"51465",68,8.8,33.66
"362125",2600,1.68,34.658
"667524",50,12.78,33.154
"593596",114,9.42,33.925
"179334",86,13.34,33.25
"543025",350,7.01,34.196
"170943",150,16.91,34.463
"390572",75,14.02,33.763
"448689",55,18.74,34.974
"780707",75,10.04,33.856
"711119",0,15.08,33.34
"312405",392,6.34,34.22
"142623",300,7.26,34.121
"790972",139,9.6,33.955
"856318",50,13.04,33.2992
"753905",119,9.98,34.049
"549339",30,15.72,33.49
"242134",30,20.71,33.881
"602159",1,18.23,33.394
"253960",0,19.56,33.82
"687982",30,18.63,33.704
"223269",400,9.22,34.654
"314211",1291,3.36,34.57
"25067",1000,3.58,34.336
"661621",10,13.64,33.162
"532443",486,6.1,34.287
"624732",200,7.82,34.031
"438595",300,9.9,34.062
"506896",10,14.85,33.55
"696784",30,16.88,33.218
"377215",20,11.93,33.301
"505721",600,6.02,34.47
"530949",448,6.3,34.311
"402748",10,14.09,33.67
"584757",485,6.26,34.282
"466781",200,11.33,34.63
"562264",148,11.01,33.629
"383256",300,8.29,34.26
"186855",88,11,33.4
"683107",318,7.59,33.992
"307627",68,11.71,32.73
"13924",700,4.77,34.302
"507721",500,6.25,34.25
"654824",418,6.11,34.104
"364058",250,8.48,34.297
"721576",50,13.57,33.545
"371196",300,7.17,34.067
"158054",391,6.4,34.12
"239404",76,16.3,34.06
"50946",151,9.61,33.93
"181050",268,7.28,33.95
"508325",175,9,34.02
"451975",100,14.37,34.46
"39586",1100,3.49,34.478
"193049",992,4.14,34.53
"125515",250,7.32,34.158
"244884",500,6.58,34.265
"240484",69,11.67,33.47
"338511",567,6.02,34.343
"166632",9,14.26,33.38
"160682",217,10.05,34.4
"368859",0,24.78,34.662
"317083",107,9.92,33.4
"632631",200,8.66,33.855
"198964",30,10.84,33.022
"65382",20,19.56,33.773
"178908",900,4.66,34.5
"691258",163,12.23,33.792
"437979",0,14.67,33.39
"482622",450,6.5,34.29
"814917",75,13.62,33.058
"639923",530,5.61,34.241
"855826",230,8.578,33.9533
"646187",0,16.89,33.637
"584986",103,11.47,33.586
"363016",300,7.65,34.247
"192528",25,11.12,33.59
"191990",144,11.03,33.78
"355652",200,9.96,34.283
"317914",548,4.92,34.235
"372269",50,12.71,33.487
"800201",250,8.25,34.017
"354284",20,17.12,32.893
"33951",529,5.03,34.16
"688410",26,11.43,33.525
"24741",379,6.19,34.08
"547215",250,8.32,34.165
"156421",186,9.22,34.2
"598506",97,10.79,33.568
"706373",400,8.78,34.375
"674243",0,18.52,33.3
"408800",250,7.77,34
"641125",1100,3.57,34.504
"805801",30,10.81,33.557
"859298",250,8.346,34.0389
"277118",85,15.36,33.45
"779902",250,7.94,34.037
"286293",10,20.59,34.004
"345070",1800,2.43,34.604
"521918",107,11.7,33.655
"687163",60,10.57,33.737
"211969",305,9.01,34.43
"670761",20,15.38,33.156
"127037",75,8.21,33.622
"515712",30,14.66,33.401
"530897",50,10.04,33.635
"65641",1200,3.5,34.637
"383016",2267,1.92,34.645
"18575",400,7.99,34.47
"243373",75,12.26,33.382
"863858",300,7.253,34.0926
"669388",1,14.35,33.041
"460845",100,16.62,34.66
"289816",100,10.62,34.017
"492357",800,4.6,34.42
"801444",250,7.6,34.023
"347122",96,11.64,33.458
"365180",234,10.68,34.589
"476705",50,14.59,35.031
"829540",500,6.79,34.293
"470760",400,6.68,33.96
"206226",30,16.88,34.087
"636350",125,8.69,33.904
"343388",1,15.74,33.726
"436467",10,14.19,33.43
"834014",50,11.626,33.6182
"481873",400,6.29,34.17
"483011",20,15.86,33.55
"697245",439,5.8,34.155
"390767",413,8.12,34.489
"703530",139,8.5,34.032
"23149",297,8.61,34.18
"59923",75,9.94,32.996
"170837",150,18.1,34.729
"170443",196,11.9,33.86
"697668",267,7.68,34.09
"184368",75,13.34,33.047
"43358",108,13.26,33.24
"413050",200,10.27,33.796
"737857",41,12.6,33.064
"570295",200,7.59,34.083
"489334",20,13.41,33.297
"560314",542,5.31,34.216
"769576",141,9.07,33.776
"235142",100,11.38,33.627
"794254",169,8.86,33.989
"423514",150,9.06,34.04
"614684",22,11.77,33.21
"762554",150,9.57,33.951
"851654",125,9.292,33.8274
"741119",30,12.81,33.507
"161555",350,7.27,34.28
"475878",100,13.95,34.936
"378616",4757,1.6,34.69
"320067",600,5.85,34.461
"590059",41,13.33,33.296
"632668",10,19.39,33.387
"726572",100,10.72,33.784
"287212",522,5.86,34.27
"265374",82,11.57,33.45
"272634",440,8.38,34.53
"797183",50,11.5,33.587
"610380",500,5.36,34.127
"655116",530,6.47,34.236
"635295",12,12.79,33.469
"698475",229,7.85,34.027
"437802",250,7.18,34.06
"177449",887,4.16,34.47
"396690",98,10,33.905
"753502",61,14.37,33.032
"341781",30,17.21,33.594
"102234",806,4.51,34.51
"437632",0,15.93,33.182
"126516",571,5.66,34.29
"253806",200,8.55,33.91
"734805",500,5.78,34.205
"266822",20,17.64,33.535
"428284",250,8.39,33.857
"339934",20,15.88,32.778
"684912",2,15.52,33.299
"402998",600,5.71,34.38
"60930",79,9.68,33.64
"171432",45,11.9,33.33
"91290",30,14.99,32.727
"219436",88,14.15,33.52
"108871",188,8.85,33.81
"755002",1,15.74,32.808
"572887",145,9.43,33.909
"335249",184,8.68,34.075
"654764",105,13.27,33.375
"492589",300,8.1,34.31
"117637",1000,3.96,34.445
"520371",29,14.46,33.25
"15438",75,15.94,33.794
"118961",0,10.17,33.57
"200480",250,9.3,34.196
"674514",96,16.13,33.557
"669778",150,10.51,33.449
"378810",70,16.08,33.714
"503780",11,14.64,33.393
"235449",141,10.89,33.48
"328856",354,7.26,33.987
"190597",125,8.95,34.218
"337818",125,9.02,33.873
"349717",400,6.52,34.126
"559963",69,14.68,33.137
"406858",200,9.67,34.05
"119527",20,13.41,33.09
"573351",50,17.3,33.557
"564400",10,13.52,33.491
"59769",99,12.85,33.12
"684916",30,15.36,33.301
"506691",30,14.35,33.44
"370414",20,13.82,33.642
"331022",151,10.94,33.415
"394395",104,11.03,33.857
"181440",107,8.96,33.84
"448984",0,14.75,33.53
"121961",91,9.32,33.53
"187513",30,12.9,33.33
"764564",119,9.17,34.074
"293262",425,5.81,34.17
"608386",72,11.28,32.807
"826197",201,8.94,34.087
"465835",0,18.56,33.48
"301629",400,7.27,34.234
"3808",250,7.92,34.146
"432339",300,9.14,34.28
"29020",613,4.99,34.13
"400274",3532,1.65,34.674
"325293",397,8.55,34.473
"413767",0,16.85,33.81
"568457",11,17.03,33.59
"718445",374,6.82,34.042
"662779",0,15.9,33.13
"589992",31,14.06,33.299
"357024",1100,3.8,34.508
"202083",50,20.23,35.133
"379871",50,16.48,33.739
"275533",1314,3.82,34.54
"582902",520,5.37,34.214
"821507",121,9.26,34.066
"716426",268,8.24,34.222
"189032",158,12.34,34.65
"855399",500,6.238,34.2524
"271946",411,8.18,34.45
"150682",300,6.67,34.146
"118039",20,13.72,33.256
"55802",500,5.52,34.291
"172262",300,8.02,34.298
"241707",125,10.07,33.959
"227353",193,12,34.76
"251277",150,9.15,33.82
"699718",115,12.58,33.345
"216532",20,15.38,33.55
"466803",400,8.47,34.48
"171755",11,18.82,34.33
"10941",300,6.59,34.032
"425724",50,11.32,33.78
"774575",125,9.99,34.032
"838149",0,18.91,33.5859
"330761",207,7.59,33.938
"449136",100,9.85,33.8
"146217",400,7.13,34.313
"252378",92,15.16,33.71
"831357",0,17.026,33.3526
"35282",667,4.78,34.31
"737697",75,11.36,33.641
"607527",140,7.96,33.977
"19400",133,13.39,33.58
"577613",200,9.53,33.652
"533914",600,5.73,34.39
"633975",336,6.77,34.1
"661624",23,13.63,33.163
"697064",60,11.98,33.518
"368357",508,6.05,34.312
"495966",0,15.25,33.68
"167916",128,10.8,34
"829105",270,8,34.188
"483500",125,11.21,33.53
"389306",0,13.15,33.627
"531724",125,9.23,33.939
"850505",230,8.862,33.9185
"312497",100,9.28,33.883
"637925",50,12.15,33.079
"196255",2200,2,34.65
"7395",1170,3.78,34.49
"811070",321,7.73,34.21
"331304",400,6.4,34.095
"598720",85,9.38,33.787
"429316",400,7.6,34.27
"690062",250,7.99,33.932
"226692",878,11.06,34.8
"147595",86,12.22,33.03
"558890",10,12.86,32.42
"327519",12,21.45,33.87
"455613",20,11.13,33.49
"602006",99,10.67,33.589
"221771",50,8.85,33.689
"337726",126,8.55,34.013
"726681",250,7.87,34.122
"740874",101,10.03,33.87
"609883",50,12.81,32.712
"500708",0,21.1,34.01
"672224",118,10.3,33.805
"404939",200,10.01,34.32
"680881",50,10.57,33.586
"395148",152,10.79,34.401
"583574",50,12.66,33.151
"41510",9,16.82,33.98
"135636",22,13.3,33.3
"360783",1,15,33.43
"349005",300,7.83,34.261
"450240",0,12.05,33.02
"538296",611,5.53,34.332
"121602",257,8.19,33.98
"52822",150,8.78,33.958
"197902",300,9.78,34.126
"476314",75,14.38,35.198
"684725",169,8.73,33.974
"763130",49,11.98,33.185
"292258",50,19.55,33.972
"129247",75,10.37,33.44
"260596",30,21.85,33.678
"49330",49,10.41,33.57
"170914",217,13.37,34.14
"355358",107,16.1,33.856
"247730",314,9.09,34.42
"470376",500,4.16,34.03
"646193",40,16.28,33.63
"184769",124,9.7,33.85
"204369",500,7.23,34.47
"329530",75,12.79,33.333
"71194",500,5.52,34.244
"572616",259,8.79,33.957
"862336",250,8.016,34.0664
"475779",146,12.32,34.561
"471908",500,5.39,34.19
"605075",20,13.32,33.346
"335840",100,9.78,34.055
"78060",10,12.7,33.13
"11693",75,7.06,32.72
"107055",264,7.84,34.09
"574728",125,11.55,33.507
"386291",20,14,33.212
"308371",2600,1.75,34.665
"777274",199,9.09,34.187
"160524",30,15.26,33.522
"285729",20,21.18,34.085
"226006",0,20.02,34.38
"413387",0,16.74,33.69
"196827",100,13.2,33.39
"841523",500,6.703,34.3013
"272716",170,12.12,34.37
"745725",70,12.06,33.385
"258865",182,11.4,34.34
"397750",126,9.7,33.975
"705820",69,10.75,33.677
"400621",400,7.25,34.236
"839543",140,9.52,33.3224
"294870",110,10.32,33.61
"22732",125,12.28,33.596
"682427",109,11.52,33.524
"847411",400,6.815,34.1844
"284290",11,18.79,33.73
